## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[eyestalk.bam] OUTPUT=complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Dec 07 15:52:43 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	52036966	0	0	0	30828140	3730589	0.592428	24705050

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	10521556
2	4905160
3	2591948
4	1356314
5	704103
6	373442
7	206650
8	122065
9	78192
10	53497
11	39174
12	30139
13	23736
14	19386
15	16677
16	13866
17	11959
18	10303
19	9166
20	8220
21	7205
22	6486
23	5773
24	5229
25	4715
26	4235
27	3875
28	3597
29	3354
30	3102
31	2858
32	2585
33	2506
34	2304
35	2058
36	1973
37	1867
38	1759
39	1666
40	1553
41	1512
42	1401
43	1376
44	1242
45	1127
46	1148
47	1022
48	1022
49	920
50	888
51	906
52	816
53	831
54	763
55	763
56	708
57	690
58	620
59	635
60	628
61	577
62	562
63	547
64	497
65	503
66	474
67	472
68	441
69	447
70	433
71	409
72	364
73	370
74	349
75	364
76	337
77	348
78	327
79	303
80	303
81	293
82	269
83	281
84	260
85	281
86	282
87	247
88	260
89	245
90	248
91	227
92	243
93	233
94	225
95	208
96	204
97	194
98	188
99	196
100	193
101	180
102	199
103	152
104	147
105	142
106	166
107	156
108	159
109	136
110	163
111	143
112	144
113	149
114	147
115	127
116	124
117	149
118	135
119	114
120	104
121	96
122	118
123	121
124	118
125	100
126	98
127	78
128	96
129	97
130	107
131	80
132	104
133	75
134	97
135	97
136	71
137	83
138	88
139	88
140	75
141	85
142	67
143	68
144	70
145	79
146	78
147	84
148	58
149	69
150	68
151	71
152	63
153	61
154	72
155	57
156	67
157	80
158	58
159	78
160	52
161	58
162	61
163	55
164	53
165	48
166	46
167	61
168	44
169	52
170	73
171	50
172	59
173	56
174	50
175	40
176	33
177	53
178	54
179	47
180	41
181	42
182	50
183	44
184	47
185	46
186	55
187	43
188	29
189	30
190	48
191	47
192	34
193	31
194	38
195	45
196	42
197	38
198	35
199	37
200	36
201	39
202	30
203	34
204	28
205	30
206	43
207	35
208	41
209	35
210	35
211	21
212	42
213	33
214	23
215	34
216	42
217	29
218	27
219	21
220	25
221	26
222	23
223	21
224	24
225	35
226	22
227	22
228	23
229	21
230	23
231	25
232	23
233	37
234	26
235	27
236	33
237	23
238	29
239	26
240	17
241	29
242	25
243	21
244	28
245	23
246	20
247	21
248	17
249	17
250	25
251	28
252	20
253	24
254	27
255	15
256	21
257	16
258	17
259	17
260	20
261	20
262	29
263	10
264	15
265	15
266	16
267	18
268	15
269	18
270	15
271	21
272	17
273	11
274	18
275	16
276	22
277	20
278	22
279	23
280	16
281	13
282	17
283	22
284	20
285	15
286	19
287	12
288	12
289	11
290	18
291	13
292	13
293	19
294	7
295	17
296	18
297	12
298	13
299	8
300	17
301	12
302	11
303	12
304	11
305	15
306	10
307	12
308	13
309	8
310	11
311	10
312	12
313	9
314	12
315	8
316	11
317	12
318	13
319	15
320	8
321	6
322	10
323	10
324	8
325	10
326	17
327	11
328	9
329	12
330	16
331	11
332	12
333	13
334	9
335	10
336	11
337	10
338	11
339	12
340	12
341	7
342	10
343	11
344	15
345	9
346	6
347	4
348	8
349	4
350	6
351	10
352	17
353	12
354	9
355	12
356	7
357	10
358	10
359	10
360	4
361	10
362	6
363	6
364	7
365	9
366	12
367	12
368	8
369	7
370	6
371	6
372	2
373	6
374	4
375	12
376	4
377	5
378	9
379	5
380	3
381	6
382	4
383	11
384	5
385	5
386	17
387	5
388	7
389	7
390	4
391	5
392	5
393	5
394	5
395	4
396	7
397	13
398	7
399	8
400	6
401	9
402	5
403	7
404	5
405	9
406	5
407	1
408	7
409	9
