## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[gill.bam] OUTPUT=coconutcrab_gill_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 12:09:43 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	48879926	0	0	0	22393376	3221678	0.45813	37747769

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	18919397
2	4899420
3	1408410
4	478454
5	208340
6	113930
7	74271
8	52655
9	39868
10	31411
11	25234
12	20861
13	17767
14	15113
15	12968
16	11403
17	10164
18	8712
19	7865
20	7272
21	6360
22	5895
23	5283
24	4849
25	4409
26	4055
27	3890
28	3480
29	3286
30	3011
31	2912
32	2741
33	2476
34	2418
35	2260
36	2014
37	1986
38	1810
39	1822
40	1689
41	1527
42	1470
43	1434
44	1419
45	1242
46	1264
47	1181
48	1175
49	1087
50	996
51	951
52	990
53	947
54	879
55	847
56	810
57	779
58	773
59	763
60	724
61	723
62	643
63	689
64	608
65	619
66	598
67	605
68	550
69	539
70	509
71	536
72	509
73	456
74	436
75	435
76	423
77	404
78	390
79	417
80	382
81	356
82	356
83	350
84	302
85	358
86	394
87	324
88	337
89	303
90	300
91	299
92	293
93	324
94	280
95	240
96	287
97	277
98	233
99	248
100	260
101	229
102	213
103	227
104	232
105	237
106	178
107	218
108	201
109	215
110	196
111	167
112	188
113	193
114	176
115	190
116	184
117	162
118	178
119	151
120	178
121	151
122	149
123	147
124	170
125	150
126	146
127	148
128	139
129	138
130	145
131	143
132	138
133	112
134	131
135	119
136	110
137	123
138	118
139	127
140	92
141	104
142	107
143	98
144	108
145	90
146	93
147	93
148	103
149	99
150	88
151	88
152	78
153	95
154	77
155	88
156	95
157	88
158	69
159	102
160	87
161	70
162	96
163	80
164	77
165	63
166	85
167	79
168	82
169	74
170	73
171	78
172	69
173	78
174	63
175	70
176	75
177	67
178	81
179	82
180	78
181	66
182	59
183	64
184	74
185	63
186	66
187	73
188	45
189	62
190	59
191	70
192	55
193	70
194	55
195	51
196	53
197	60
198	58
199	37
200	59
201	61
202	56
203	49
204	42
205	57
206	51
207	53
208	50
209	55
210	50
211	55
212	48
213	40
214	41
215	37
216	54
217	55
218	32
219	45
220	41
221	37
222	40
223	44
224	50
225	36
226	37
227	42
228	38
229	47
230	35
231	38
232	33
233	35
234	22
235	40
236	30
237	47
238	37
239	34
240	37
241	34
242	44
243	31
244	33
245	29
246	27
247	42
248	33
249	42
250	30
251	34
252	38
253	27
254	33
255	32
256	27
257	26
258	27
259	22
260	34
261	40
262	18
263	41
264	34
265	30
266	31
267	39
268	23
269	26
270	33
271	32
272	35
273	29
274	26
275	21
276	21
277	20
278	44
279	27
280	20
281	30
282	12
283	19
284	23
285	23
286	26
287	24
288	22
289	25
290	19
291	29
292	21
293	28
294	21
295	22
296	17
297	23
298	28
299	18
300	17
301	26
302	21
303	26
304	21
305	16
306	25
307	22
308	23
309	25
310	15
311	22
312	25
313	26
314	20
315	22
316	16
317	16
318	18
319	27
320	13
321	23
322	17
323	26
324	20
325	17
326	15
327	18
328	17
329	16
330	17
331	14
332	20
333	17
334	21
335	14
336	16
337	17
338	18
339	22
340	22
341	12
342	25
343	9
344	17
345	11
346	15
347	16
348	11
349	5
350	18
351	20
352	15
353	18
354	15
355	14
356	11
357	7
358	19
359	12
360	12
361	14
362	9
363	12
364	12
365	14
366	15
367	12
368	12
369	15
370	15
371	11
372	12
373	12
374	9
375	13
376	13
377	7
378	9
379	12
380	15
381	8
382	14
383	10
384	12
385	11
386	11
387	18
388	10
389	14
390	9
391	12
392	17
393	15
394	10
395	11
396	11
397	13
398	9
399	12
400	16
401	11
402	16
403	8
404	9
405	13
406	12
407	12
408	8
409	7
410	14
411	8
412	11
413	13
414	12
415	10
416	15
417	2
418	9
419	11
420	10
421	5
422	12
423	16
424	11
425	12
426	5
427	8
428	10
429	13
430	8
431	13
432	9
433	10
434	10
435	8
436	12
437	7
438	8
439	8
440	7
441	7
442	7
443	3
444	14
445	8
446	12
447	9
448	7
449	6
450	5
451	4
452	5
453	5
454	7
455	7
456	7
457	9
458	9
459	5
460	11
461	7
462	7
463	8
464	5
465	5
466	8
467	5
468	6
469	8
470	5
471	10
472	4
473	5
474	8
475	2
476	5
477	11
478	4
479	12
480	4
481	5
482	7
483	8
484	8
485	5
486	7
487	5
488	3
489	7
490	8
491	13
492	4
493	8
494	2
495	4
496	7
497	5
498	11
499	4
500	4
501	4
502	5
503	3
504	5
505	7
506	5
507	7
508	5
509	9
510	6
511	4
512	1
513	3
514	6
515	7
516	5
517	3
518	8
519	6
520	5
521	10
522	7
523	6
524	3
525	7
526	6
527	9
528	8
529	7
530	4
531	2
532	1
533	4
534	9
535	4
536	2
537	5
538	7
539	6
540	8
541	6
542	2
543	6
544	9
545	9
546	12
547	4
548	5
549	5
550	4
551	5
552	5
553	8
554	3
555	5
556	5
557	4
558	5
559	7
560	6
561	7
562	6
563	6
564	6
565	8
566	7
567	6
568	9
569	7
570	4
571	5
572	2
573	4
574	4
575	6
576	3
577	2
578	2
579	2
580	3
581	9
582	4
583	9
584	6
585	4
586	1
587	5
588	4
589	3
590	6
591	2
592	3
593	4
594	2
595	4
596	2
597	3
598	6
599	4
600	7
601	4
602	4
603	5
604	5
605	6
606	5
607	2
609	4
611	4
612	3
613	5
614	4
615	5
616	4
617	5
618	6
619	3
620	5
621	5
622	6
623	2
624	4
625	5
626	3
627	5
628	3
629	3
630	2
631	4
632	3
633	2
634	1
635	4
636	3
637	6
638	2
639	4
640	6
641	7
642	3
643	3
644	6
645	4
646	3
647	2
648	3
649	4
650	5
651	4
652	5
653	10
654	4
655	1
656	7
657	3
658	6
659	5
660	2
661	3
662	4
663	3
664	2
665	3
666	2
667	2
668	1
669	1
670	2
671	1
672	1
673	5
674	4
675	2
676	1
677	4
678	1
679	3
680	1
681	5
682	2
683	3
684	2
686	4
687	5
688	5
689	1
690	2
691	1
692	4
693	5
694	2
695	1
696	1
697	1
698	3
699	4
700	5
701	5
702	1
703	5
704	1
705	3
706	6
707	2
708	3
709	2
710	2
711	4
712	1
713	3
714	3
715	4
716	4
717	3
718	6
719	9
720	2
721	2
722	2
723	2
724	2
725	2
726	1
727	6
728	1
729	2
730	1
731	4
732	4
733	4
734	4
735	3
736	1
737	1
738	3
739	3
740	2
741	2
742	2
743	2
744	2
745	2
746	2
747	5
749	2
750	1
751	4
752	1
753	3
754	2
755	3
756	3
757	3
758	3
759	2
761	8
762	4
763	4
764	3
765	2
766	5
767	2
768	1
770	2
771	4
772	3
773	3
774	1
775	2
776	1
777	1
779	2
782	3
783	1
785	2
786	4
787	2
788	2
789	2
790	1
791	4
792	5
793	3
794	1
795	4
796	2
797	2
798	2
799	1
800	2
801	4
802	8
803	2
804	1
805	1
806	1
807	1
808	2
809	1
810	3
811	3
812	2
813	2
815	1
816	1
817	3
818	2
819	3
820	1
821	2
822	4
823	1
825	1
827	1
829	4
830	3
831	1
832	1
833	4
834	3
835	2
836	3
838	4
839	1
841	1
843	3
844	2
846	2
847	2
848	3
849	1
850	1
851	2
853	1
854	1
855	1
856	3
857	2
858	2
859	1
861	3
862	3
863	3
864	3
865	3
866	1
867	1
868	2
869	3
870	1
871	1
872	2
874	3
875	1
876	2
877	1
878	4
879	2
880	2
882	2
884	2
886	2
887	2
889	2
890	1
891	2
893	1
894	2
896	3
897	3
898	1
899	2
901	1
902	2
903	5
904	1
905	1
906	2
909	3
910	2
911	2
912	2
913	1
917	3
918	3
919	2
920	3
921	1
922	1
923	2
924	1
925	1
926	1
927	1
929	1
930	1
932	1
933	6
934	1
935	2
936	2
937	4
939	2
941	2
942	2
943	1
944	2
945	1
946	1
947	1
948	2
949	3
951	2
953	5
954	1
955	1
956	1
957	1
958	1
960	2
961	1
964	3
965	4
966	2
967	2
968	1
969	1
971	1
972	3
976	3
978	1
979	1
980	1
981	5
982	2
983	1
984	2
986	1
988	2
990	2
991	2
993	1
995	1
997	2
998	1
1000	2
1003	1
1006	1
1008	2
1009	2
1010	1
1011	1
1012	1
1013	1
1014	1
1015	1
1018	2
1019	2
1021	1
1022	1
1025	3
1026	2
1027	1
1028	3
1030	1
1031	1
1032	1
1033	1
1035	1
1036	3
1037	2
1039	1
1041	2
1044	2
1046	1
1047	1
1049	1
1050	5
1051	2
1053	3
1054	4
1056	1
1057	1
1058	1
1059	2
1060	1
1065	2
1066	2
1070	1
1071	2
1072	6
1074	2
1075	1
1076	1
1077	1
1078	1
1082	4
1083	4
1084	1
1087	1
1088	1
1089	1
1090	1
1091	1
1092	1
1095	3
1096	1
1100	1
1101	2
1103	1
1105	1
1106	1
1109	1
1111	1
1114	2
1115	2
1118	1
1120	2
1121	1
1123	2
1133	1
1135	2
1136	1
1137	1
1139	1
1140	1
1148	1
1149	4
1150	1
1151	2
1152	2
1156	2
1158	1
1159	1
1160	2
1162	1
1163	1
1164	1
1165	1
1166	1
1167	1
1168	2
1171	2
1172	1
1174	2
1176	2
1177	1
1180	1
1181	1
1182	1
1185	1
1188	1
1191	1
1193	2
1196	1
1200	2
1201	2
1202	1
1203	1
1205	1
1206	1
1207	1
1208	2
1209	1
1210	1
1214	2
1216	1
1217	1
1218	5
1219	1
1221	1
1222	1
1224	1
1225	1
1226	1
1227	1
1230	1
1233	2
1235	2
1237	1
1238	3
1239	3
1242	1
1244	1
1246	1
1247	1
1248	1
1249	2
1252	1
1253	1
1254	1
1255	1
1256	1
1259	2
1260	1
1261	1
1265	1
1267	1
1268	1
1270	1
1274	2
1276	1
1279	1
1280	1
1281	1
1283	1
1285	2
1286	2
1289	1
1294	1
1295	3
1297	1
1300	1
1303	3
1304	1
1305	1
1306	2
1307	1
1308	1
1311	1
1312	1
1313	1
1316	3
1318	2
1321	1
1322	2
1323	1
1324	1
1328	1
1329	1
1330	1
1332	1
1333	2
1335	2
1336	1
1338	2
1339	1
1340	1
1342	1
1344	1
1350	1
1361	1
1365	1
1367	1
1369	1
1370	1
1377	2
1384	1
1386	1
1387	2
1389	3
1391	1
1392	1
1393	1
1394	3
1395	1
1396	2
1397	2
1400	1
1402	2
1403	2
1404	1
1405	1
1406	1
1407	1
1408	1
1410	2
1411	1
1413	1
1417	1
1421	2
1423	2
1425	1
1426	1
1427	1
1429	1
1436	1
1440	1
1443	1
1450	1
1451	1
1452	1
1453	1
1457	2
1459	1
1460	1
1464	1
1465	1
1466	1
1467	2
1470	2
1472	2
1475	2
1476	1
1478	1
1479	1
1482	1
1484	1
1485	1
1493	2
1496	1
1501	1
1508	1
1509	1
1512	2
1516	1
1517	1
1518	1
1521	1
1526	1
1529	2
1530	2
1532	1
1534	1
1542	1
1544	1
1548	1
1550	1
1551	1
1555	1
1559	1
1560	1
1572	1
1573	1
1578	1
1579	1
1580	1
1583	3
1584	1
1587	1
1589	1
1590	1
1591	3
1593	1
1594	1
1598	2
1601	1
