## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[hepatopancreas.bam] OUTPUT=coconutcrab_hepatopancreas_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 12:15:52 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	48902003	0	0	0	19534701	1683975	0.399466	45448168

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	21283718
2	5277070
3	1511557
4	518596
5	226588
6	123025
7	78169
8	54967
9	41026
10	31539
11	25221
12	20488
13	16930
14	14383
15	12195
16	10460
17	9228
18	8053
19	7000
20	6193
21	5667
22	4911
23	4573
24	4129
25	3842
26	3489
27	3119
28	2874
29	2628
30	2490
31	2353
32	2160
33	1989
34	1879
35	1768
36	1637
37	1517
38	1435
39	1329
40	1282
41	1216
42	1171
43	1081
44	1020
45	984
46	884
47	891
48	859
49	746
50	719
51	694
52	707
53	644
54	621
55	585
56	596
57	540
58	548
59	532
60	489
61	487
62	445
63	385
64	411
65	377
66	376
67	402
68	345
69	355
70	316
71	352
72	308
73	324
74	251
75	278
76	289
77	252
78	286
79	260
80	247
81	247
82	236
83	240
84	227
85	221
86	215
87	192
88	213
89	205
90	176
91	219
92	187
93	176
94	193
95	160
96	163
97	149
98	143
99	155
100	161
101	152
102	130
103	137
104	134
105	137
106	130
107	139
108	139
109	121
110	124
111	143
112	126
113	114
114	100
115	124
116	104
117	97
118	93
119	93
120	106
121	96
122	96
123	89
124	81
125	80
126	83
127	102
128	88
129	92
130	76
131	69
132	82
133	66
134	80
135	75
136	83
137	64
138	62
139	74
140	66
141	64
142	86
143	75
144	57
145	65
146	45
147	53
148	61
149	59
150	58
151	53
152	46
153	59
154	53
155	49
156	49
157	44
158	40
159	45
160	42
161	44
162	46
163	57
164	53
165	44
166	45
167	42
168	56
169	28
170	37
171	38
172	41
173	41
174	42
175	28
176	40
177	37
178	38
179	32
180	36
181	25
182	33
183	43
184	38
185	25
186	38
187	32
188	31
189	28
190	30
191	31
192	23
193	30
194	28
195	32
196	23
197	30
198	31
199	29
200	23
201	21
202	20
203	32
204	28
205	25
206	22
207	27
208	15
209	27
210	16
211	26
212	20
213	28
214	25
215	26
216	25
217	18
218	19
219	26
220	22
221	24
222	26
223	20
224	29
225	25
226	22
227	28
228	22
229	26
230	23
231	21
232	20
233	21
234	22
235	18
236	18
237	13
238	21
239	23
240	14
241	15
242	19
243	14
244	22
245	20
246	19
247	21
248	15
249	15
250	24
251	18
252	15
253	24
254	16
255	13
256	14
257	14
258	12
259	24
260	15
261	13
262	17
263	13
264	13
265	8
266	17
267	16
268	10
269	15
270	19
271	11
272	18
273	15
274	18
275	12
276	14
277	16
278	14
279	18
280	11
281	10
282	11
283	7
284	9
285	11
286	13
287	15
288	12
289	9
290	6
291	8
292	11
293	9
294	10
295	13
296	8
297	6
298	8
299	7
300	7
301	11
302	6
303	10
304	10
305	4
306	9
307	7
308	12
309	10
310	9
311	7
312	6
313	9
314	11
315	5
316	11
317	8
318	15
319	7
320	9
321	7
322	1
323	12
324	9
325	8
326	6
327	4
328	7
329	11
330	7
331	6
332	7
333	4
334	9
335	5
336	11
337	3
338	4
339	5
340	7
341	7
342	4
343	10
344	10
345	5
346	7
347	10
348	6
349	10
350	10
351	7
352	5
353	6
354	3
355	4
356	8
357	6
358	3
359	6
360	7
361	3
362	2
363	4
364	5
365	5
366	5
367	7
368	9
369	7
370	8
371	10
372	6
374	5
375	8
376	7
377	7
378	10
379	4
380	2
381	6
382	5
383	6
384	8
385	5
386	3
387	11
388	2
389	4
390	4
391	8
392	2
393	8
394	5
395	3
396	6
397	5
398	3
399	2
400	5
401	5
402	4
403	4
404	6
405	6
406	2
407	6
408	3
409	5
410	9
411	5
412	4
413	2
414	6
415	2
416	4
417	4
418	5
419	7
420	3
421	6
422	3
423	5
424	2
425	6
427	2
428	10
429	2
430	3
431	5
432	2
433	5
434	1
435	2
436	2
437	4
438	5
439	5
440	3
441	3
442	2
443	5
444	2
445	8
446	1
447	3
448	5
449	2
450	6
451	2
452	5
453	5
454	2
455	5
456	2
457	3
458	3
459	3
460	8
461	1
462	7
463	6
464	2
465	2
466	4
467	3
469	3
470	5
471	1
473	1
474	5
475	4
476	3
477	3
478	2
479	2
480	2
481	4
482	2
483	3
484	4
485	3
486	1
487	6
488	1
489	3
490	2
491	2
492	2
493	1
494	2
495	2
496	7
497	3
498	2
499	3
500	3
501	5
502	3
503	1
504	1
505	2
506	1
507	2
508	1
509	2
510	4
511	1
512	4
513	1
514	4
515	2
517	3
518	2
519	3
520	1
521	1
522	5
524	1
525	1
527	3
528	2
529	3
530	2
531	3
532	5
533	1
534	1
535	1
536	2
537	2
538	2
539	2
540	4
542	2
543	3
544	1
545	4
546	1
548	3
549	2
550	2
551	2
552	2
553	4
554	1
555	3
558	4
559	4
560	1
561	3
562	2
563	3
564	2
565	5
566	5
567	2
568	3
569	1
570	2
573	3
574	3
575	4
576	1
577	1
578	1
579	1
580	2
582	4
583	4
584	3
585	3
586	1
587	1
588	1
589	1
590	2
591	3
592	1
594	1
596	1
597	1
598	2
599	2
600	2
601	4
603	2
605	2
606	1
608	1
609	1
611	2
612	1
613	1
617	1
619	1
620	1
621	2
622	2
623	2
624	2
626	3
629	3
631	2
632	1
636	2
637	3
638	2
641	1
642	5
643	2
644	1
646	3
647	2
649	1
650	1
651	1
653	1
655	2
658	2
659	2
663	1
664	1
666	1
668	2
669	2
670	2
671	2
672	1
674	2
675	1
677	1
678	1
679	1
680	2
681	1
684	1
685	1
687	1
690	1
692	1
693	1
694	2
695	2
696	4
697	2
698	1
703	1
704	1
708	1
709	3
710	2
711	1
712	2
713	2
715	1
716	1
717	1
719	1
720	3
721	2
722	2
724	2
726	1
728	2
729	2
730	1
731	1
732	1
734	2
735	1
736	1
737	1
738	1
739	1
740	2
741	1
742	1
746	2
748	1
749	2
750	1
751	2
752	1
753	2
754	1
759	1
761	1
762	1
764	1
765	2
767	2
770	1
774	2
776	3
778	1
780	1
781	1
782	1
783	1
788	1
789	1
791	1
792	2
793	1
794	2
796	1
798	1
801	1
802	3
803	1
804	1
806	1
807	1
808	1
810	1
818	1
