## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[muscle.bam] OUTPUT=coconutcrab_muscle_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 12:15:52 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	48479442	0	0	0	27848737	2414314	0.574444	24266292

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	11728117
2	4525813
3	2011073
4	928284
5	458839
6	248499
7	150311
8	99703
9	71482
10	54426
11	41889
12	34060
13	27798
14	23110
15	19800
16	16784
17	14715
18	12775
19	11236
20	10026
21	8921
22	8074
23	7103
24	6597
25	5947
26	5432
27	4855
28	4473
29	4160
30	3931
31	3554
32	3389
33	3116
34	2890
35	2770
36	2466
37	2426
38	2261
39	2077
40	2005
41	1948
42	1802
43	1635
44	1580
45	1501
46	1429
47	1312
48	1280
49	1264
50	1185
51	1063
52	1075
53	1019
54	930
55	910
56	884
57	858
58	802
59	775
60	742
61	759
62	702
63	653
64	647
65	617
66	616
67	572
68	532
69	567
70	505
71	488
72	454
73	443
74	462
75	447
76	438
77	419
78	403
79	412
80	380
81	329
82	376
83	354
84	347
85	317
86	316
87	283
88	297
89	308
90	303
91	293
92	265
93	235
94	279
95	229
96	267
97	241
98	243
99	247
100	217
101	223
102	209
103	195
104	193
105	209
106	206
107	175
108	184
109	175
110	198
111	180
112	183
113	174
114	154
115	164
116	179
117	147
118	166
119	167
120	153
121	137
122	128
123	144
124	151
125	114
126	134
127	136
128	145
129	126
130	131
131	104
132	114
133	119
134	114
135	109
136	110
137	102
138	99
139	102
140	109
141	105
142	88
143	94
144	90
145	95
146	83
147	83
148	93
149	88
150	75
151	94
152	94
153	83
154	87
155	80
156	81
157	84
158	73
159	62
160	90
161	90
162	64
163	73
164	61
165	63
166	68
167	58
168	72
169	64
170	65
171	65
172	59
173	57
174	53
175	63
176	61
177	51
178	71
179	63
180	54
181	53
182	62
183	50
184	54
185	40
186	45
187	56
188	50
189	60
190	40
191	56
192	56
193	47
194	46
195	50
196	42
197	51
198	46
199	48
200	39
201	31
202	41
203	36
204	47
205	47
206	44
207	40
208	39
209	41
210	39
211	46
212	41
213	37
214	33
215	43
216	34
217	44
218	36
219	32
220	36
221	35
222	23
223	42
224	35
225	31
226	20
227	45
228	30
229	35
230	39
231	31
232	39
233	31
234	33
235	30
236	21
237	32
238	26
239	23
240	24
241	19
242	26
243	24
244	14
245	36
246	21
247	22
248	26
249	29
250	23
251	24
252	26
253	23
254	21
255	16
256	23
257	27
258	21
259	18
260	28
261	30
262	28
263	28
264	22
265	25
266	16
267	18
268	22
269	26
270	11
271	13
272	21
273	24
274	23
275	16
276	20
277	23
278	23
279	14
280	18
281	20
282	19
283	20
284	16
285	14
286	25
287	14
288	15
289	15
290	16
291	15
292	13
293	10
294	18
295	13
296	20
297	17
298	14
299	15
300	14
301	17
302	12
303	17
304	13
305	17
306	12
307	18
308	16
309	21
310	16
311	14
312	7
313	18
314	19
315	14
316	13
317	11
318	14
319	12
320	12
321	11
322	18
323	14
324	19
325	13
326	18
327	14
328	16
329	9
330	7
331	11
332	12
333	16
334	15
335	12
336	7
337	15
338	12
339	12
340	8
341	11
342	14
343	13
344	11
345	16
346	9
347	10
348	12
349	12
350	11
351	10
352	14
353	8
354	8
355	13
356	8
357	7
358	9
359	13
360	10
361	8
362	7
363	12
364	15
365	9
366	10
367	10
368	9
369	8
370	9
371	10
372	6
373	12
374	9
375	7
376	7
377	10
378	9
379	8
380	9
381	13
382	9
383	8
384	9
385	9
386	9
387	5
388	8
389	11
390	9
391	9
392	6
393	11
394	7
395	7
396	10
397	17
398	9
399	7
400	11
401	8
402	6
403	7
404	9
405	6
406	9
407	8
408	10
409	3
410	3
411	7
412	9
413	10
414	9
415	14
416	9
417	8
418	8
419	5
420	5
421	5
422	5
423	10
424	11
425	9
426	5
427	10
428	3
429	3
430	4
431	8
432	3
433	4
434	4
435	6
436	8
437	13
438	10
439	3
440	9
441	5
442	6
443	6
444	5
445	10
446	10
447	8
448	4
449	10
450	2
451	4
452	8
453	3
454	6
455	6
457	3
458	6
459	5
460	7
461	4
462	4
463	8
464	5
465	12
466	2
467	4
468	5
469	6
470	5
471	10
472	7
473	7
474	2
475	5
476	3
477	3
478	6
479	8
480	2
481	5
482	2
483	4
484	9
485	6
486	4
487	5
488	2
489	11
490	7
491	6
492	7
493	3
494	6
495	6
496	5
497	3
499	4
500	6
501	7
502	4
503	3
504	6
505	6
506	4
507	4
508	7
509	3
510	5
511	3
512	8
513	2
514	6
515	2
516	6
517	6
518	3
519	7
520	3
521	3
522	3
523	6
524	6
525	6
526	2
527	1
528	7
529	7
530	4
