## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[kingcrab_eyestalk.bam] OUTPUT=kingcrab_eyestalk_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 12:18:44 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	45805458	0	0	0	15796515	2014212	0.344861	54043542

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	23157860
2	4638467
3	1130367
4	386950
5	187057
6	111758
7	75221
8	53690
9	40430
10	31264
11	24595
12	19826
13	16288
14	13526
15	11788
16	9823
17	8448
18	7303
19	6467
20	5712
21	5180
22	4526
23	4009
24	3611
25	3311
26	2942
27	2678
28	2409
29	2243
30	2119
31	1892
32	1806
33	1713
34	1573
35	1372
36	1296
37	1225
38	1193
39	1077
40	1005
41	995
42	894
43	856
44	818
45	751
46	767
47	725
48	633
49	610
50	548
51	573
52	553
53	440
54	494
55	463
56	461
57	413
58	406
59	395
60	384
61	360
62	334
63	311
64	282
65	306
66	255
67	263
68	263
69	241
70	254
71	250
72	217
73	244
74	216
75	201
76	212
77	203
78	190
79	187
80	158
81	168
82	149
83	160
84	148
85	138
86	129
87	136
88	130
89	147
90	103
91	147
92	121
93	120
94	111
95	115
96	103
97	84
98	109
99	88
100	114
101	92
102	90
103	82
104	68
105	94
106	89
107	75
108	64
109	70
110	89
111	73
112	70
113	77
114	66
115	60
116	66
117	65
118	65
119	60
120	62
121	61
122	56
123	61
124	65
125	52
126	44
127	58
128	48
129	44
130	50
131	45
132	60
133	42
134	44
135	49
136	45
137	45
138	38
139	41
140	37
141	35
142	56
143	35
144	36
145	38
146	35
147	30
148	31
149	24
150	35
151	29
152	33
153	26
154	32
155	28
156	18
157	23
158	28
159	26
160	23
161	36
162	28
163	27
164	16
165	22
166	25
167	21
168	16
169	22
170	17
171	31
172	25
173	24
174	25
175	27
176	31
177	23
178	14
179	15
180	21
181	16
182	27
183	10
184	15
185	21
186	13
187	19
188	18
189	14
190	21
191	15
192	18
193	18
194	14
195	13
196	14
197	13
198	21
199	13
200	25
201	14
202	15
203	15
204	14
205	10
206	13
207	13
208	17
209	16
210	12
211	13
212	18
213	11
214	18
215	9
216	12
217	15
218	15
219	8
220	18
221	15
222	7
223	15
224	10
225	12
226	6
227	11
228	12
229	16
230	14
231	6
232	10
233	7
234	7
235	13
236	7
237	12
238	7
239	5
240	10
241	8
242	5
243	4
244	9
245	14
246	6
247	10
248	10
249	10
250	7
251	10
252	11
253	11
254	3
255	7
256	8
257	8
258	4
259	6
260	6
261	4
262	6
263	9
264	12
265	6
266	8
267	6
268	2
269	4
270	10
271	7
272	4
273	3
274	6
275	10
276	7
277	4
278	5
279	7
280	9
281	5
282	5
283	7
284	4
285	8
286	3
287	7
288	4
289	5
290	6
291	4
292	9
293	3
294	3
295	4
296	7
297	1
298	6
299	6
300	2
301	1
302	5
303	2
304	1
305	2
306	3
307	3
308	4
309	6
310	2
311	5
312	4
313	4
314	7
315	2
316	4
317	7
318	3
319	1
320	8
321	4
322	3
323	9
324	3
325	1
326	4
327	6
328	6
329	1
330	3
331	2
332	7
333	3
334	3
335	5
336	2
337	5
338	1
339	2
340	2
341	2
342	2
343	3
344	1
345	1
346	4
347	3
348	3
350	3
351	2
352	3
353	2
354	3
355	5
356	4
357	2
358	5
359	2
361	3
362	2
363	5
364	2
365	3
366	1
367	1
368	3
369	1
370	2
371	2
372	7
373	3
374	4
375	2
376	2
377	3
378	3
379	2
380	1
381	4
382	3
383	1
384	2
385	1
386	4
387	2
388	1
389	4
390	1
391	5
392	3
393	1
395	1
397	4
398	1
399	3
400	2
401	1
402	3
403	3
404	3
405	3
407	3
408	1
410	1
411	1
413	4
414	2
415	2
416	1
417	1
419	5
420	1
421	1
422	2
423	3
424	1
425	4
426	1
427	1
428	1
430	1
431	1
432	2
433	2
435	1
436	3
437	3
439	4
440	2
442	5
443	2
444	3
445	1
446	2
447	1
448	2
450	4
451	3
452	2
453	1
454	3
455	1
457	3
458	2
459	1
460	4
461	3
462	2
464	1
466	1
467	4
468	1
469	1
470	1
471	3
472	1
473	1
474	3
475	2
478	1
479	1
480	1
481	1
482	2
483	1
484	2
485	2
486	2
488	2
489	3
490	1
491	3
492	2
493	2
494	1
495	1
496	2
497	2
498	2
499	2
500	2
501	1
502	1
504	1
505	2
506	2
507	3
508	2
509	2
512	1
513	1
514	1
515	1
516	1
517	3
518	1
519	1
520	3
521	2
522	1
523	1
524	3
525	1
526	2
527	1
528	1
531	1
532	2
533	1
534	1
537	3
538	1
539	2
540	1
542	1
543	2
544	1
546	3
547	1
548	1
550	1
552	2
554	2
555	1
560	4
562	1
565	2
568	1
570	1
571	1
572	2
574	1
575	1
577	1
578	2
579	2
580	3
581	1
582	1
585	1
586	2
587	1
588	1
589	1
590	1
592	2
594	2
597	1
598	1
599	3
600	2
601	1
605	1
612	1
613	1
614	2
615	1
617	3
618	1
620	2
622	1
623	2
624	3
625	1
626	2
630	1
631	1
634	1
635	1
638	2
640	1
641	1
642	1
643	1
646	1
649	2
650	2
652	4
653	1
656	1
657	1
658	1
659	1
660	2
663	2
664	4
665	1
666	1
668	1
669	1
670	2
671	1
672	2
676	1
680	1
681	1
684	1
685	1
687	2
690	1
691	1
702	1
703	1
705	1
707	1
712	1
715	1
720	1
721	1
727	1
730	1
731	1
746	1
747	1
748	1
749	1
753	1
759	1
762	1
764	2
769	1
771	1
773	1
775	1
777	1
778	1
779	2
784	1
801	1
803	1
805	1
809	1
818	1
821	1
823	1
841	1
848	1
849	1
858	1
862	2
866	1
867	1
869	1
888	1
889	1
898	2
904	1
914	1
915	1
928	1
933	1
934	2
935	1
936	1
937	1
947	2
952	1
961	1
963	1
966	1
971	1
974	1
976	1
993	1
998	1
1007	1
1021	1
1045	1
1071	1
1079	1
1089	1
1098	1
1118	1
1125	1
1136	1
1155	2
1172	1
1187	1
1205	1
1206	1
1215	1
1216	1
1229	1
1233	1
1238	1
1247	1
1257	1
1260	1
1276	1
1297	1
1304	3
1313	1
1318	1
1344	1
1361	1
1378	1
1389	1
1415	1
1417	1
1425	1
1426	1
1433	1
1462	1
1470	1
1472	1
1489	1
1499	1
1506	1
1523	1
1554	1
1635	1
1663	1
1799	1
2240	1
2270	1
2289	1
2314	1
2408	1
3085	1
3458	1
3484	1
3665	1
3722	1
3770	1
3961	1
4255	1
4963	1
4988	1
5210	1
5262	1

