## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[kingcrab_gill.bam] OUTPUT=kingcrab_gill_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 12:18:43 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	48369348	0	0	0	24546165	2787319	0.507474	30880205

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	14182682
2	5298217
3	2220539
4	952365
5	431365
6	215731
7	121231
8	76648
9	52644
10	38793
11	29858
12	23355
13	19133
14	15679
15	13329
16	11402
17	9387
18	8340
19	7245
20	6359
21	5625
22	5141
23	4520
24	4085
25	3703
26	3348
27	3187
28	2900
29	2615
30	2427
31	2176
32	2099
33	1912
34	1805
35	1683
36	1559
37	1391
38	1367
39	1337
40	1234
41	1176
42	1096
43	987
44	987
45	877
46	859
47	822
48	780
49	735
50	693
51	656
52	645
53	617
54	583
55	570
56	572
57	554
58	454
59	501
60	483
61	461
62	410
63	410
64	395
65	383
66	370
67	353
68	360
69	302
70	333
71	301
72	295
73	297
74	282
75	270
76	277
77	263
78	237
79	247
80	224
81	198
82	212
83	229
84	179
85	221
86	188
87	175
88	193
89	188
90	175
91	180
92	184
93	176
94	167
95	146
96	163
97	146
98	136
99	145
100	150
101	127
102	145
103	136
104	136
105	150
106	121
107	111
108	111
109	107
110	99
111	109
112	108
113	109
114	96
115	91
116	99
117	106
118	97
119	99
120	87
121	94
122	85
123	96
124	95
125	92
126	83
127	78
128	71
129	68
130	76
131	71
132	73
133	81
134	73
135	57
136	77
137	56
138	81
139	86
140	85
141	80
142	58
143	63
144	46
145	75
146	60
147	54
148	53
149	59
150	57
151	52
152	53
153	43
154	44
155	51
156	52
157	42
158	59
159	42
160	41
161	52
162	42
163	55
164	47
165	47
166	41
167	51
168	43
169	42
170	46
171	42
172	45
173	34
174	33
175	27
176	34
177	30
178	34
179	30
180	29
181	39
182	32
183	40
184	41
185	26
186	40
187	24
188	35
189	37
190	26
191	33
192	26
193	32
194	39
195	24
196	33
197	31
198	45
199	25
200	15
201	19
202	24
203	29
204	38
205	19
206	26
207	28
208	24
209	25
210	30
211	26
212	25
213	17
214	32
215	28
216	28
217	20
218	29
219	24
220	24
221	22
222	13
223	25
224	19
225	22
226	18
227	15
228	24
229	27
230	19
231	23
232	19
233	18
234	26
235	15
236	14
237	17
238	20
239	24
240	16
241	21
242	24
243	16
244	22
245	19
246	26
247	19
248	17
249	17
250	17
251	19
252	17
253	16
254	9
255	23
256	20
257	17
258	9
259	19
260	9
261	19
262	15
263	20
264	21
265	14
266	17
267	22
268	13
269	11
270	12
271	13
272	14
273	16
274	10
275	25
276	14
277	15
278	12
279	16
280	7
281	10
282	11
283	11
284	15
285	12
286	14
287	20
288	11
289	12
290	16
291	9
292	13
293	14
294	13
295	15
296	11
297	14
298	9
299	13
300	13
301	17
302	12
303	8
304	10
305	6
306	12
307	13
308	6
309	13
310	10
311	8
312	11
313	7
314	13
315	8
316	10
317	5
318	7
319	13
320	9
321	7
322	5
323	15
324	14
325	9
326	10
327	8
328	16
329	15
330	10
331	8
332	7
333	13
334	15
335	9
336	10
337	7
338	6
339	10
340	7
341	12
342	10
343	6
344	11
345	8
346	8
347	6
348	8
349	8
350	9
351	5
352	5
353	5
354	4
355	4
356	8
357	6
358	9
359	8
360	13
361	6
362	6
363	8
364	9
365	6
366	4
367	5
368	4
