## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[kingcrab_hepato_pancreas.bam] OUTPUT=kingcrab_hepatopancreas_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 12:19:12 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	54167121	0	0	0	19723832	2239155	0.364129	58603225

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	26913440
2	5009770
3	1210562
4	440306
5	223055
6	136892
7	92779
8	66012
9	49594
10	38795
11	30951
12	25183
13	20750
14	17349
15	14775
16	12631
17	10865
18	9685
19	8525
20	7460
21	6662
22	5992
23	5474
24	4847
25	4393
26	4066
27	3705
28	3351
29	3003
30	2877
31	2719
32	2432
33	2313
34	2136
35	2063
36	1888
37	1737
38	1702
39	1555
40	1422
41	1401
42	1251
43	1204
44	1198
45	1119
46	1065
47	974
48	928
49	844
50	841
51	822
52	808
53	769
54	704
55	710
56	592
57	621
58	586
59	546
60	558
61	569
62	514
63	473
64	458
65	464
66	448
67	448
68	413
69	404
70	424
71	378
72	337
73	339
74	344
75	335
76	310
77	307
78	286
79	287
80	268
81	241
82	253
83	250
84	247
85	251
86	233
87	221
88	211
89	201
90	222
91	205
92	211
93	184
94	158
95	183
96	185
97	152
98	164
99	130
100	148
101	177
102	169
103	145
104	161
105	112
106	136
107	143
108	127
109	143
110	126
111	122
112	109
113	108
114	140
115	117
116	100
117	114
118	109
119	100
120	107
121	90
122	76
123	96
124	90
125	89
126	92
127	94
128	90
129	97
130	90
131	82
132	99
133	98
134	72
135	67
136	90
137	93
138	61
139	75
140	69
141	59
142	78
143	83
144	48
145	62
146	48
147	62
148	62
149	52
150	63
151	51
152	68
153	59
154	46
155	48
156	54
157	58
158	48
159	63
160	49
161	50
162	51
163	47
164	52
165	45
166	43
167	33
168	49
169	45
170	49
171	32
172	33
173	36
174	44
175	45
176	42
177	38
