## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[kingcrab_muscle.bam] OUTPUT=kingcrab_muscle_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 12:18:44 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	48316293	0	0	0	27284860	1826102	0.564713	24864734

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	14738767
2	3487155
3	1101658
4	476587
5	265962
6	173864
7	122403
8	91554
9	71166
10	56516
11	45974
12	37809
13	32359
14	27176
15	23565
16	20348
17	17976
18	15814
19	14123
20	12525
21	11286
22	10353
23	9276
24	8398
25	7861
26	7236
27	6473
28	6025
29	5607
30	5166
31	4777
32	4542
33	4110
34	3934
35	3670
36	3430
37	3275
38	3082
39	2968
40	2674
41	2649
42	2486
43	2336
44	2275
45	2092
46	2055
47	1946
48	1821
49	1740
50	1644
51	1593
52	1524
53	1480
54	1387
55	1381
56	1360
57	1251
58	1117
59	1135
60	1070
61	1094
62	1036
63	1001
64	942
65	943
66	883
67	865
68	802
69	803
70	764
71	789
72	728
73	735
74	657
75	665
76	697
77	634
78	640
79	549
80	560
81	581
82	529
83	536
84	553
85	502
86	496
87	480
88	442
89	495
90	447
91	427
92	450
93	404
94	372
95	355
96	390
97	394
98	348
99	359
100	352
101	347
102	320
103	311
104	330
105	334
106	313
107	313
108	315
109	305
110	249
111	279
112	236
113	283
114	277
115	252
116	257
117	236
118	257
119	255
120	223
121	214
122	234
123	223
124	188
125	207
126	203
127	186
128	207
129	206
130	174
131	201
132	213
133	176
134	160
135	205
136	187
137	183
138	191
139	156
140	169
141	171
142	148
143	145
144	142
145	132
146	140
147	113
148	142
149	145
150	127
151	137
152	123
153	152
154	137
155	129
156	130
157	137
158	119
159	126
160	109
161	118
162	123
163	100
164	125
165	118
166	93
167	88
168	94
169	84
170	95
171	99
172	106
173	92
174	91
175	93
176	82
177	80
178	83
179	89
180	91
181	102
182	99
183	88
184	72
185	66
186	91
187	81
188	81
189	67
190	83
191	63
192	77
193	74
194	76
195	72
196	79
197	65
198	75
199	72
200	63
201	65
202	80
203	60
204	60
205	61
206	44
207	66
208	75
209	61
210	66
211	58
212	59
213	56
214	53
215	50
216	57
217	59
218	49
219	46
220	47
221	51
222	57
223	49
224	65
225	59
226	51
227	46
228	55
229	39
230	47
231	47
232	56
233	37
234	47
235	47
236	49
237	39
238	51
239	46
240	41
241	39
242	60
243	32
244	46
245	48
246	43
247	43
248	28
249	45
250	36
251	36
252	31
253	52
254	39
255	39
256	31
257	39
258	35
259	23
260	29
261	39
262	33
263	44
264	41
265	43
266	37
267	38
268	32
269	38
270	30
271	30
272	44
273	39
274	30
275	24
276	33
277	33
278	38
279	42
280	31
281	30
282	30
283	32
284	33
285	31
286	35
287	20
288	23
289	25
290	31
291	23
292	23
293	23
294	31
295	28
296	25
297	34
298	34
299	26
300	37
301	36
302	22
303	23
304	20
305	24
306	28
307	26
308	28
309	28
310	20
311	18
312	32
313	17
314	31
315	29
316	25
317	19
318	20
319	26
320	16
321	25
322	32
323	24
324	27
325	25
326	20
327	24
328	28
329	12
330	14
331	18
332	22
