## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[Lobster_eyestalk.bam] OUTPUT=lobster_eyestalk_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=569926658 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 13:34:59 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	24612404	0	0	0	17478052	550720	0.710132	7424952

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	4990492
2	1220590
3	401275
4	160193
5	77026
6	44059
7	28734
8	20750
9	16004
10	13255
11	10679
12	9150
13	7941
14	6943
15	6255
16	5448
17	4998
18	4447
19	4084
20	3636
21	3464
22	3314
23	2850
24	2734
25	2615
26	2422
27	2372
28	2141
29	2002
30	1861
31	1811
32	1590
33	1659
34	1530
35	1463
36	1343
37	1330
38	1290
39	1198
40	1133
41	1134
42	1063
43	1034
44	988
45	961
46	947
47	872
48	808
49	878
50	773
51	783
52	729
53	708
54	724
55	682
56	673
57	654
58	621
59	641
60	603
61	563
62	502
63	542
64	528
65	537
66	485
67	444
68	455
69	500
70	435
71	436
72	440
73	437
74	417
75	386
76	381
77	402
78	372
79	341
80	346
81	343
82	311
83	330
84	321
85	298
86	317
87	308
88	304
89	298
90	292
91	288
92	286
93	299
94	263
95	267
96	253
97	227
98	256
99	252
100	237
101	236
102	239
103	224
104	191
105	242
106	229
107	201
108	215
109	207
110	204
111	198
112	183
113	193
114	187
115	185
116	204
117	151
118	190
119	176
120	172
121	195
122	201
123	182
124	173
125	179
126	150
127	157
128	146
129	131
130	178
131	147
132	156
133	147
134	146
135	137
136	157
137	136
138	139
139	139
140	133
141	141
142	148
143	115
144	153
145	137
146	122
147	120
148	134
149	115
150	110
151	124
152	132
153	129
154	120
155	102
156	112
157	111
158	91
159	105
160	127
161	120
162	96
163	109
164	104
165	102
166	104
167	94
168	105
169	101
170	96
171	69
172	100
