## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[Lobster_gill.bam] OUTPUT=lobster_gill_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=569926658 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 13:34:30 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	23084818	0	0	0	18321353	470173	0.793654	4806988

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	3152235
2	841123
3	296103
4	126592
5	65032
6	39523
7	26876
8	20384
9	15758
10	12897
11	11024
12	9476
13	8105
14	7034
15	6341
16	5609
17	5036
18	4612
19	4013
20	3911
21	3494
22	3391
23	2989
24	2807
25	2595
26	2488
27	2369
28	2184
29	2061
30	1999
31	1872
32	1654
33	1580
34	1515
35	1494
36	1381
37	1348
38	1267
39	1221
40	1220
41	1069
42	1043
43	1101
44	990
45	938
46	962
47	916
48	877
49	847
50	793
51	803
52	724
53	741
54	706
55	648
56	637
57	654
58	646
59	619
60	594
61	584
62	567
63	566
64	574
65	505
66	526
67	514
68	492
69	500
70	453
71	472
72	451
73	425
74	405
75	374
76	409
77	419
78	351
79	390
80	365
81	357
82	376
83	326
84	333
85	313
86	323
87	298
88	340
89	291
90	303
91	314
92	278
93	254
94	267
95	263
96	281
97	245
98	262
99	294
100	265
101	227
102	262
103	256
104	235
105	234
106	247
107	182
108	225
109	229
110	217
111	204
112	196
113	206
114	193
115	199
116	172
117	179
118	186
119	173
120	183
121	167
122	182
123	175
124	170
125	159
126	172
127	150
128	156
129	166
130	136
131	172
132	147
133	153
134	151
135	154
136	150
137	124
138	149
139	143
140	155
141	150
142	136
143	140
144	140
145	143
146	146
147	119
148	140
149	125
150	118
151	115
152	115
153	125
154	108
155	120
156	128
157	116
158	99
159	119
160	101
161	112
162	95
163	98
164	132
165	119
166	107
167	98
168	102
169	96
170	89
171	94
172	95
173	97
174	99
175	72
176	100
177	89
178	82
179	97
180	77
181	86
182	89
183	90
184	90
185	101
186	76
187	73
188	83
189	73
190	81
191	73
192	95
193	79
194	68
195	70
196	73
197	96
198	86
199	88
200	90
201	66
202	96
203	61
204	73
205	82
206	54
207	66
208	68
209	81
210	75
211	68
212	52
213	77
214	51
215	64
216	73
217	69
218	67
219	83
220	54
221	57
222	60
223	50
224	66
225	52
226	56
227	55
228	56
229	65
230	54
231	56
232	59
233	58
234	43
235	48
236	43
237	54
238	62
239	41
240	53
241	57
242	36
243	54
244	46
245	48
246	44
247	45
248	51
249	55
250	54
251	41
252	44
253	36
254	38
255	58
256	53
257	59
258	53
259	41
260	45
261	54
262	43
263	54
264	46
265	51
266	46
267	55
268	51
269	27
270	40
271	39
272	45
273	38
274	50
275	50
276	36
277	47
278	43
279	42
280	38
281	34
282	43
283	32
284	32
285	31
286	44
287	58
288	39
289	45
290	41
291	32
292	49
293	41
294	35
295	37
296	32
297	36
298	35
299	30
300	33
301	45
302	48
303	24
304	47
305	27
306	33
307	42
308	34
309	40
310	38
311	37
312	31
313	41
314	33
315	28
316	42
317	34
318	34
319	24
320	32
321	36
322	42
323	32
324	28
325	26
326	23
327	29
328	33
329	31
330	31
331	29
332	32
333	20
334	34
335	31
336	27
337	31
338	29
339	33
340	22
341	19
342	33
343	24
344	29
345	25
346	28
347	31
348	24
349	35
350	32
351	27
352	23
353	34
354	29
355	28
356	17
357	23
358	28
359	30
360	35
361	26
362	22
363	26
364	24
365	26
366	29
367	28
368	25
369	30
370	30
371	24
372	21
373	24
374	20
375	28
376	26
377	21
378	16
379	23
380	23
381	17
382	26
383	28
384	31
385	25
386	23
387	18
388	20
389	28
390	25
391	18
392	20
393	25
394	28
395	28
396	24
397	25
398	14
399	23
400	21
401	21
402	24
403	19
404	18
405	22
406	19
407	20
408	24
409	22
410	20
411	21
412	18
413	19
414	21
415	25
416	24
417	23
418	22
419	21
420	13
421	27
422	26
423	23
424	15
425	25
426	11
427	16
428	27
429	22
430	24
431	19
432	19
433	12
434	20
435	20
436	14
437	18
438	23
439	25
440	17
441	22
442	25
443	19
444	19
445	14
446	18
447	15
448	15
449	14
450	17
451	20
452	20
453	15
454	14
455	15
456	26
457	16
458	12
459	16
460	19
461	17
462	17
463	12
464	12
465	17
466	19
467	18
468	19
469	21
470	14
471	17
472	20
473	16
474	15
475	13
476	21
477	15
478	11
479	12
480	16
481	24
482	14
483	13
484	11
485	13
486	16
487	14
488	11
489	10
490	18
491	18
492	16
493	19
494	18
495	10
496	8
497	13
498	19
499	12
500	14
501	15
502	15
503	12
504	19
505	18
506	13
507	15
508	16
509	15
510	15
511	15
512	14
513	17
514	10
515	16
516	18
517	13
518	13
519	18
520	15
521	16
522	17
523	12
524	12
525	15
526	13
527	11
528	12
529	14
530	18
531	18
532	20
533	12
534	17
535	9
536	15
537	16
538	16
539	21
540	13
541	14
542	20
543	16
544	9
545	14
546	8
547	12
548	6
549	6
550	12
551	16
552	7
553	16
554	12
555	8
556	9
557	15
558	6
559	8
560	11
561	11
562	15
563	10
564	10
565	8
566	14
567	9
568	17
569	12
570	13
571	13
572	7
573	8
574	11
575	14
576	5
577	13
578	8
579	6
580	10
581	11
582	12
583	11
584	11
585	5
586	13
587	11
588	14
589	10
590	6
591	15
592	14
593	10
594	13
595	2
596	14
597	11
598	9
599	12
600	11
601	12
602	13
603	12
604	10
605	8
606	11
607	6
608	12
609	9
610	10
611	11
612	8
613	10
614	8
615	8
616	10
617	9
618	8
619	7
620	10
621	8
622	10
623	11
624	10
625	18
626	13
627	7
628	9
629	11
630	11
631	13
632	10
633	15
634	12
635	7
636	6
637	14
638	11
639	9
640	7
641	10
642	15
643	8
644	5
645	8
646	8
647	8
648	10
649	8
650	8
651	7
652	9
653	7
654	11
655	9
656	14
657	7
658	14
659	10
660	8
661	6
662	6
663	6
664	9
665	6
666	6
667	8
668	14
669	6
670	7
671	10
672	11
673	8
674	7
675	11
676	11
677	8
678	13
679	7
680	4
681	8
682	6
683	6
684	11
685	10
686	5
687	5
688	8
689	7
690	7
691	6
692	4
693	7
694	8
695	10
696	7
697	8
698	10
699	7
700	4
701	14
702	5
703	3
704	12
705	10
706	7
707	11
708	6
709	9
710	9
711	6
712	5
713	4
714	7
715	7
716	5
717	7
718	7
719	8
720	8
721	9
722	10
723	7
724	9
725	6
726	9
727	12
728	8
729	6
730	9
731	13
732	10
733	5
734	8
735	7
736	5
737	6
738	9
739	11
740	11
741	4
742	6
743	7
744	6
745	7
746	5
747	7
748	7
749	6
750	7
751	8
752	4
753	7
754	9
755	5
756	7
757	5
758	12
759	3
760	8
761	5
762	6
763	10
764	3
765	5
766	5
767	4
768	7
769	5
770	9
771	4
772	4
773	2
774	7
775	10
776	7
777	7
778	6
779	4
780	6
781	7
782	7
783	1
784	6
785	8
786	9
787	9
788	4
789	6
790	9
791	5
792	4
793	8
794	3
795	9
796	4
797	4
798	5
799	8
800	7
801	9
802	12
803	5
804	2
805	8
806	7
807	5
808	7
809	7
810	5
811	4
812	5
813	3
814	7
815	5
817	6
818	5
819	2
820	3
821	6
822	9
823	6
824	9
825	7
826	6
827	6
828	3
829	9
830	4
831	2
832	5
833	10
834	8
835	7
836	7
837	14
838	6
839	5
840	9
841	5
842	3
843	6
844	6
845	4
846	4
847	3
848	6
849	5
850	3
851	8
852	6
853	6
854	3
855	7
856	6
857	4
858	6
859	3
860	4
861	8
862	7
863	8
864	7
865	5
866	4
867	2
868	5
869	6
870	3
871	3
872	6
873	9
874	7
875	8
876	6
877	3
878	4
879	4
880	3
881	5
882	2
883	4
884	7
885	7
886	7
887	5
888	5
889	3
