## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[Lobster_muscle.bam] OUTPUT=lobster_muscle_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=569926658 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 13:10:22 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	30016465	0	0	0	23746832	724515	0.791127	6331625

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	3829855
2	1162001
3	474881
4	229188
5	125707
6	77811
7	52605
8	38119
9	29101
10	23134
11	18697
12	15518
13	13297
14	11430
15	9943
16	8762
17	7583
18	6910
19	6181
20	5535
21	5044
22	4558
23	4196
24	3968
25	3615
26	3300
27	3062
28	2911
29	2670
30	2508
31	2426
32	2220
33	2128
34	1982
35	1907
36	1852
37	1724
38	1575
39	1514
40	1441
41	1414
42	1349
43	1252
44	1303
45	1210
46	1130
47	1149
48	1037
49	1027
50	969
51	919
52	893
53	881
54	840
55	810
56	792
57	750
58	717
59	677
60	676
61	676
62	647
63	658
64	605
65	577
66	570
67	570
68	542
69	518
70	503
71	540
72	468
73	459
74	479
75	460
76	449
77	440
78	412
79	403
80	409
81	389
82	400
83	375
84	359
85	370
86	367
87	341
88	371
89	351
90	324
91	292
92	311
93	324
94	282
95	279
96	286
97	279
98	276
99	252
100	281
101	241
102	274
103	232
104	275
105	279
106	241
107	251
108	233
109	218
110	190
111	222
112	228
113	198
114	232
115	203
116	203
117	196
118	208
119	203
120	202
121	197
122	194
123	206
124	168
125	192
126	177
127	181
128	172
129	202
130	156
131	156
132	155
133	150
134	158
135	148
136	147
137	158
138	151
139	166
140	157
141	126
142	157
143	155
144	129
145	139
146	151
147	137
148	136
149	153
150	115
151	142
152	126
153	108
154	123
155	120
156	131
157	142
158	121
159	108
160	122
161	125
162	134
163	119
164	109
165	103
166	110
167	107
168	105
169	86
170	107
171	114
172	108
173	95
174	111
175	101
176	103
177	98
178	91
179	95
180	103
181	88
182	99
183	105
184	84
185	108
186	84
187	98
188	92
189	79
190	94
191	85
192	65
193	65
194	74
195	68
196	97
197	71
198	91
199	85
200	78
201	57
202	83
203	56
204	84
205	79
206	87
207	65
208	73
209	79
210	63
211	63
212	77
213	75
214	72
215	72
216	71
217	79
218	63
219	71
220	65
221	67
222	69
223	66
224	64
225	73
226	74
227	58
228	67
229	64
