## htsjdk.samtools.metrics.StringHeader
# EstimateLibraryComplexity INPUT=[Lobster_ovary.bam] OUTPUT=lobster_ovary_complexity.txt    MIN_IDENTICAL_BASES=5 MAX_DIFF_RATE=0.03 MIN_MEAN_QUALITY=20 MAX_GROUP_RATIO=500 MAX_READ_LENGTH=0 MIN_GROUP_COUNT=2 READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=2279706 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 08 12:24:31 HKT 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown	0	34743485	0	0	0	19045803	705085	0.548183	18749499

## HISTOGRAM	java.lang.Integer
duplication_group_count	Unknown
1	11001946
2	2692881
3	904907
4	377638
5	188533
6	109474
7	71164
8	50149
9	37665
10	28764
11	23435
12	19271
13	15934
14	13735
15	11512
16	10172
17	8859
18	7849
19	6987
20	6251
21	5584
22	4991
23	4599
24	4254
25	3821
26	3614
27	3274
28	3071
29	2816
30	2598
31	2496
32	2281
33	2110
34	2059
35	1967
36	1911
37	1794
38	1605
39	1499
40	1505
41	1364
42	1298
43	1279
44	1116
45	1156
46	1131
47	1050
48	1002
49	925
50	944
51	881
52	841
53	819
54	785
55	729
56	705
57	672
58	706
59	692
60	642
61	622
62	574
63	533
64	542
65	531
66	550
67	481
68	467
69	458
70	467
71	476
72	464
73	385
74	381
75	361
76	348
77	398
78	370
79	348
80	345
81	341
82	345
83	347
84	343
85	316
86	269
87	270
88	324
89	255
90	281
91	288
92	225
93	238
94	253
95	290
96	231
97	228
98	242
99	225
100	228
101	185
102	226
103	205
104	194
105	190
106	186
107	166
108	206
109	189
110	175
111	181
112	182
113	182
114	174
115	165
116	167
117	169
118	161
119	153
120	143
121	136
122	141
123	146
124	132
125	144
126	135
127	135
128	137
129	116
130	126
131	126
132	123
133	120
134	148
135	110
136	108
137	92
138	111
139	126
140	101
141	113
142	128
143	124
144	102
145	82
146	104
147	99
148	91
149	92
150	103
151	103
152	97
153	92
154	78
155	97
156	95
157	97
158	69
159	90
160	90
161	84
162	77
163	81
164	95
165	78
166	82
167	74
168	81
169	75
170	71
171	69
172	69
173	51
174	65
175	65
176	74
177	57
178	66
179	69
180	91
181	58
182	67
183	50
184	50
185	66
186	65
187	53
188	74
189	59
190	59
191	65
192	63
193	48
194	55
195	56
196	49
197	44
198	63
199	52
200	67
201	65
202	64
203	55
204	53
205	49
206	58
207	54
208	58
209	58
210	45
211	42
212	59
213	47
214	52
215	47
216	57
217	39
218	58
219	44
220	38
221	48
222	43
223	38
224	31
225	34
226	46
227	33
228	37
229	40
230	47
231	31
232	37
233	40
234	36
235	28
236	30
237	44
238	32
239	46
240	37
241	32
242	41
243	29
244	34
245	39
246	31
247	33
248	33
249	36
250	38
251	30
252	33
253	25
254	29
255	35
256	42
257	32
258	31
259	42
260	32
261	27
262	25
263	37
264	23
265	24
266	32
267	35
268	30
269	33
270	31
271	29
272	28
273	25
274	30
275	35
276	22
277	28
278	23
279	30
280	33
281	24
282	41
283	16
284	18
285	25
286	26
287	31
288	18
289	32
290	31
291	21
292	20
293	23
294	27
295	29
296	17
297	25
298	23
299	26
300	27
301	28
302	23
303	25
304	20
305	23
306	25
307	19
308	12
309	25
310	24
311	20
312	15
313	22
314	23
315	18
316	21
317	22
318	25
319	21
320	16
321	21
322	11
323	19
324	23
325	16
326	14
327	16
328	18
329	15
330	15
331	16
332	14
333	15
334	21
335	20
336	25
337	18
338	19
339	18
340	12
341	11
342	22
343	10
344	15
345	16
346	25
347	18
348	17
349	14
350	20
351	16
352	14
353	12
354	14
355	18
356	16
357	22
358	12
359	15
360	13
361	16
362	19
363	15
364	18
365	15
366	16
367	13
368	21
369	12
370	20
371	19
372	15
373	19
374	14
375	11
376	16
377	13
378	9
379	18
380	13
381	10
382	14
383	13
384	12
385	12
386	10
387	12
388	16
389	13
390	12
391	13
392	18
393	11
394	17
395	8
396	7
397	13
398	14
399	7
400	14
401	10
402	14
403	13
404	7
405	12
406	7
407	10
408	18
409	5
410	14
411	17
412	10
413	12
414	4
415	12
416	16
417	16
418	14
419	9
420	11
421	9
422	14
423	14
424	8
425	4
426	11
427	13
428	11
429	10
430	20
431	8
432	14
433	9
434	14
435	10
436	11
437	6
438	6
439	8
440	7
441	6
442	4
443	16
444	9
445	19
446	13
447	6
448	13
449	6
450	14
451	10
452	10
453	10
454	8
455	8
456	11
457	10
458	8
459	10
460	8
461	10
462	15
463	9
464	13
465	6
466	11
467	6
468	7
469	13
470	7
471	7
472	8
473	5
474	8
475	8
476	20
477	8
478	6
479	10
480	3
481	11
482	5
483	13
484	10
485	10
486	11
487	6
488	6
489	4
490	4
491	10
492	5
493	6
494	7
495	7
496	4
497	9
498	9
499	8
500	8
501	9
502	6
503	5
504	7
505	10
506	9
507	5
508	10
509	5
510	5
511	6
512	5
513	8
514	9
515	7
516	5
517	9
518	10
519	8
520	4
521	8
522	6
523	4
524	6
525	8
526	7
527	9
528	13
529	5
530	3
531	13
532	6
533	6
534	4
535	8
536	9
537	6
538	10
539	3
540	3
541	6
542	11
543	7
544	10
545	8
546	5
547	5
548	5
549	7
550	8
551	6
552	9
553	6
554	5
555	9
556	3
557	3
558	7
559	8
560	4
561	2
562	4
563	8
564	5
565	9
566	7
567	6
568	6
569	3
570	7
571	4
572	6
573	3
574	5
575	3
576	4
577	9
578	4
579	6
580	7
581	2
582	6
583	6
584	6
585	9
586	8
587	7
588	2
589	6
590	5
591	5
592	3
593	6
594	7
595	7
596	2
597	4
598	9
599	7
600	5
601	7
602	5
603	4
604	5
605	2
606	5
607	5
608	5
609	4
610	6
611	8
612	3
613	5
614	2
615	3
616	6
617	7
618	7
619	7
620	8
621	3
622	5
623	5
624	7
625	6
626	6
627	4
628	3
629	8
630	5
631	6
632	4
633	8
634	3
635	5
636	5
637	8
638	4
639	7
640	7
641	9
642	4
643	2
644	8
645	5
646	6
647	4
648	2
649	3
650	5
651	1
652	4
653	3
654	6
655	7
656	4
657	3
658	2
659	3
660	6
661	2
662	7
663	4
664	10
665	5
666	6
667	1
668	5
669	4
670	3
671	4
672	8
673	2
674	6
675	1
676	4
677	3
678	6
679	7
680	2
681	4
682	1
683	5
684	7
685	6
686	4
687	2
688	4
689	3
690	4
691	5
692	5
693	4
694	3
695	4
696	9
697	5
698	8
699	5
700	6
701	3
702	4
703	4
704	2
705	8
706	3
707	5
708	9
709	1
710	2
711	4
712	5
713	4
714	5
715	2
716	5
717	2
718	3
719	1
720	4
721	1
722	5
723	5
724	5
725	1
726	4
727	1
728	1
729	1
730	3
731	2
732	5
733	6
734	3
735	6
736	2
737	2
738	5
739	4
740	3
741	3
742	6
743	3
744	3
745	1
746	4
747	2
748	9
749	2
750	2
751	6
752	1
753	1
754	2
755	2
756	5
757	2
758	2
759	1
760	1
761	2
762	2
763	8
765	1
766	3
767	2
768	2
769	1
770	3
771	3
772	3
773	6
774	1
775	5
776	8
777	5
778	2
779	2
780	4
781	2
782	5
783	2
784	3
785	5
786	6
787	2
788	3
789	1
790	1
792	1
793	3
796	4
797	1
798	3
799	2
800	5
801	6
802	4
803	3
804	5
805	5
806	2
807	5
808	2
809	3
810	4
811	3
812	2
813	4
814	4
815	1
816	4
817	5
818	4
819	4
820	1
821	2
822	3
823	3
824	3
825	4
826	2
827	4
829	1
830	7
831	1
832	2
833	6
834	2
835	6
836	2
837	2
838	5
839	4
840	3
841	1
842	3
843	3
844	1
845	3
846	2
847	3
848	3
849	2
850	2
851	1
852	4
853	3
854	1
855	1
856	1
857	2
858	1
859	4
860	4
861	2
862	3
863	2
864	2
865	2
866	2
867	2
869	1
870	3
871	2
872	3
873	3
875	2
877	3
878	5
879	7
880	3
881	2
882	2
883	2
884	2
885	2
886	4
887	1
889	1
890	4
891	1
892	2
893	3
894	4
895	2
896	1
897	2
898	5
899	1
900	3
901	1
902	2
903	4
904	4
905	1
906	1
907	2
908	1
909	3
910	2
911	3
912	2
913	4
914	5
915	2
916	4
917	1
918	2
919	1
920	5
921	3
922	2
923	2
924	2
925	3
927	1
928	1
929	4
930	1
931	2
932	7
933	1
934	3
935	1
936	3
937	4
938	1
939	2
940	4
941	2
942	3
943	1
944	2
945	2
946	2
947	2
948	3
949	2
950	3
951	5
952	1
954	1
955	1
957	1
958	3
959	2
960	3
961	3
962	2
963	4
964	1
965	5
966	5
967	3
968	6
969	2
971	1
973	2
974	1
975	2
976	5
977	1
979	1
980	2
981	1
983	3
984	2
985	1
986	2
987	2
988	6
989	4
990	1
991	3
992	1
993	1
994	1
995	2
996	2
997	1
998	2
999	1
1000	4
1001	3
1002	3
1003	1
1004	1
1005	1
1006	2
1007	1
1009	1
1011	2
1012	1
1013	1
1014	1
1015	1
1016	4
1017	1
1018	1
1019	2
1020	2
1021	1
1023	2
1025	4
1026	2
1027	2
1028	1
1029	3
1030	2
1031	3
1032	3
1033	1
1034	3
1035	1
1036	3
1037	3
1038	2
1039	2
1040	2
1041	2
1042	3
1043	2
1045	4
1047	5
1048	1
1049	2
1051	2
1052	1
1054	3
1055	2
1056	2
1058	2
1059	3
1060	1
1061	3
1062	2
1063	4
1064	3
1065	1
1066	2
1067	2
1068	2
1069	3
1070	1
1071	1
1072	1
1073	5
1074	1
1075	2
1076	2
1077	3
1078	2
1079	6
1080	2
1081	3
1084	3
1087	2
1088	3
1089	2
1090	2
1093	1
1094	1
1097	5
